Date,Website,Ad Provider Account,Ad Size,Ad Tag Id,Ad Tag,Tag Type,Impressions,Revenue (USD),eCpm (USD),Admeld Impressions,Passbacks,Order Id,Custom Field
2011-10-20,xhgaeukjpk.com,Dotomi (RTB),300x250,5697505,Buy Tag - name(Dotomi 300x250) size(300x250) site(1240),RTB,3,0,1.31,3,0,,
2011-10-20,gomez,Buysight (RTB),300x250,1166849,Buy Tag - name(Permuto 300x250) size(300x250) site(427),RTB,37,0.02,0.63,37,0,,
2011-10-20,AEMdemo,test account,300x250,11209986,AEMdemo 300x250 ros Fixed,Fixed,0,0,0,17235,0,,
2011-10-20,AEM,DSNR (AEM),728x90,9416259,Buy Tag - name(aa_DSNR_NL_RevShare_6.14.11_728) size(728x90) site(494),AEM,2,0,0.05,2,0,,
2011-10-20,gomez,TellApart (RTB),300x250,13052723,Buy Tag - name(TellApart 300x250) size(300x250) site(427),RTB,51,0.21,4.17,51,0,,
2011-10-20,rfgkvfknom.com,DSNR (AEM),300x250,10207348,Buy Tag - name(aa_DSNR_WW_RevShare_7.5.11_300) size(300x250) site(1250),AEM,2,0,0.01,2,0,,
2011-10-20,AEM,test account,1x1,9735461,Skinected 1x1 ros Fixed,Fixed,0,0,0,32,0,,
2011-10-20,msposrxshb.com,DataXu (RTB),728x90,4668165,Buy Tag - name(DataXu 728x90) size(728x90) site(1242),RTB,2,0,0.25,2,0,,
2011-10-20,AEM,CPX Interactive (AEM),160x600,11279653,Buy Tag - name(cpx_Philippines_roam_160x600) size(160x600) site(494),AEM,80,0.01,0.1,80,0,,
2011-10-20,ghhiegwcqz.com,ValueClick RTB (RTB),728x90,10907541,Buy Tag - name(ValueClick RTB 728x90) size(728x90) site(1239),RTB,1,0,0.15,1,0,,
2011-10-20,rfgkvfknom.com,Rocket Fuel (RTB),300x250,11816085,Buy Tag - name(Rocket Fuel 300x250) size(300x250) site(1250),RTB,6,0,0.36,6,0,,
2011-10-20,jeepknkhlv.com,BurstDirect (AEM),300x250,4411896,Buy Tag - name(Burst_RON_USMulti_2.23.11_300x250) size(300x250) site(1230),AEM,1,0,0.07,1,0,,
2011-10-20,axgdgcwyco.com,Banner Connect (AEM),300x250,6346920,Buy Tag - name(aa_BannerConnect_United States_Test RT_300x250) size(300x250) site(1238),AEM,1,0,0.06,1,0,,
2011-10-20,AEM,DSNR (AEM),728x90,9987336,Buy Tag - name(aa_DSNR_UK_RevShare_6.28.11_728) size(728x90) site(494),AEM,2821,0.23,0.08,2821,0,,
2011-10-20,ktflbecrqr.com,MediaMath (RTB),728x90,5695464,Buy Tag - name(MediaMath 728x90) size(728x90) site(1241),RTB,3,0,0.3,3,0,,
2011-10-20,ktflbecrqr.com,Yahoo! Network (AEM),728x90,3085272,Buy Tag - name(yahoo_roam_12.23.10_728x90) size(728x90) site(1241),AEM,4,0,0.15,4,0,,
2011-10-20,dkchvzpvpi.com,Rocket Fuel (RTB),300x250,11817320,Buy Tag - name(Rocket Fuel 300x250) size(300x250) site(1234),RTB,9,0.01,0.59,9,0,,
2011-10-20,ghhiegwcqz.com,DataXu (RTB),728x90,4668282,Buy Tag - name(DataXu 728x90) size(728x90) site(1239),RTB,3,0,0.5,3,0,,
2011-10-20,AEM,DSNR (AEM),300x250,9383434,Buy Tag - name(aa_DSNR_DE_RevShare_6.14.11_300) size(300x250) site(494),AEM,22,0,0.08,22,0,,
2011-10-20,allison_test,DSNR (AEM),160x600,10189018,Buy Tag - name(aa_DSNR_WW_RevShare_7.5.11_160) size(160x600) site(1980),AEM,13,0,0.01,13,0,,
2011-10-20,ktflbecrqr.com,AppNexus (RTB),300x250,3313771,Buy Tag - name(AppNexus 300x250) size(300x250) site(1241),RTB,3,0,0.18,3,0,,
2011-10-20,msposrxshb.com,AppNexus (RTB),300x250,3313772,Buy Tag - name(AppNexus 300x250) size(300x250) site(1242),RTB,4,0,0.29,4,0,,
2011-10-20,AEM,DSNR (AEM),160x600,17883756,Buy Tag - name(aa_DSNR_CYZA_RevShare_10.19.11_160) size(160x600) site(494),AEM,24,0,0.1,24,0,,
2011-10-20,AEM,aCerno (AEM),728x90,10672942,Buy Tag - name(aa_Acerno_PixelFree_Feed1_07.14.11_728) size(728x90) site(494),AEM,147,0.22,1.49,147,0,,
2011-10-20,jeepknkhlv.com,Dotomi (RTB),300x250,5697374,Buy Tag - name(Dotomi 300x250) size(300x250) site(1230),RTB,4,0,0.61,4,0,,
2011-10-20,axxiuzsydh.com,Rocket Fuel (RTB),728x90,11820686,Buy Tag - name(Rocket Fuel 728x90) size(728x90) site(1237),RTB,1,0,0.94,1,0,,
2011-10-20,wgrwijbosb.com,Headway Digital (AEM),300x250,14913646,Buy Tag - name(aa_Headwaydigital_ROS_US_9.19.11_300x250) size(300x250) site(1248),AEM,1,0,0.06,1,0,,
2011-10-20,axxiuzsydh.com,AppNexus (RTB),300x250,3313759,Buy Tag - name(AppNexus 300x250) size(300x250) site(1237),RTB,4,0,0.53,4,0,,
2011-10-20,axxiuzsydh.com,The Trade Desk (RTB),728x90,2849919,Buy Tag - name(Trade Desk 728x90) size(728x90) site(1237),RTB,1,0,0.18,1,0,,
2011-10-20,axxiuzsydh.com,ValueClick RTB (RTB),300x250,10904511,Buy Tag - name(ValueClick RTB 300x250) size(300x250) site(1237),RTB,15,0,0.25,15,0,,
2011-10-20,wgsdbvujia.com,Rocket Fuel (RTB),300x250,11817423,Buy Tag - name(Rocket Fuel 300x250) size(300x250) site(1243),RTB,2,0,0.24,2,0,,
2011-10-20,demo.com,Dotomi,300x250,5168,Dotomi 300x250 ROS,Rev Share,0,0,0,8,3,,
2011-10-20,AEM,DSNR (AEM),728x90,17897120,Buy Tag - name(aa_DSNR_WW_RevShare3_10.19.11_728) size(728x90) site(494),AEM,5234,0.16,0.03,5234,0,,
2011-10-20,AEMdemo,DSNR (AEM),728x90,17898992,Buy Tag - name(aa_DSNR_WW_RevShare3_10.19.11_728) size(728x90) site(978),AEM,1063,0.03,0.03,1063,0,,
2011-10-20,wgsdbvujia.com,MediaMath (RTB),728x90,5695632,Buy Tag - name(MediaMath 728x90) size(728x90) site(1243),RTB,1,0,0.33,1,0,,
2011-10-20,rfgkvfknom.com,Rocket Fuel (RTB),728x90,11819984,Buy Tag - name(Rocket Fuel 728x90) size(728x90) site(1250),RTB,3,0,0.17,3,0,,
2011-10-20,wgsdbvujia.com,Yahoo RTB (RTB),300x250,15457345,Buy Tag - name(Yahoo 300x250) size(300x250) site(1243),RTB,7,0,0.19,7,0,,
2011-10-20,AEM,DSNR (AEM),728x90,10198611,Buy Tag - name(aa_DSNR_WW_RevShare_7.5.11_728) size(728x90) site(494),AEM,161350,1.61,0.01,161350,0,,
2011-10-20,AEM,Darriens network (AEM),300x250,13093763,Buy Tag - name(Darriens_DE_Channel_300) size(300x250) site(494),AEM,48,0,0.08,48,0,,
2011-10-20,itqmduyvkb.com,AppNexus (RTB),160x600,3313668,Buy Tag - name(AppNexus 160x600) size(160x600) site(1232),RTB,1,0,0.18,1,0,,
2011-10-20,dkchvzpvpi.com,Banner Connect (AEM),300x250,6347348,Buy Tag - name(aa_BannerConnect_United States_Test RT_300x250) size(300x250) site(1234),AEM,3,0,0.07,3,0,,
2011-10-20,jhtayqlgcq.com,Yahoo RTB (RTB),300x250,15455732,Buy Tag - name(Yahoo 300x250) size(300x250) site(1246),RTB,5,0,0.16,5,0,,
